campus_number,baseball,basketball,cheer_drill,cross_country,football,golf,soccer,softball,swim,team_tennis,tennis,track,volley,water_polo,wrestling,archery,bowling,capoiera,disc_golf,flag_football,fun_fit,gymnastics,karate,lacrosse,running,squash,strength,yoga
130,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
203,-99,5,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99
79,1,"1,2,3,4","3,4","1,2,3,4","1,2",-99,"1,2,3,4",-99,-99,-99,-99,"1,2,3,4","1,2,3,4",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
295,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
372,-99,5,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
152,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
56,-99,"2,4",4,"2,4",2,-99,"2,4",-99,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,3,-99
158,-99,-99,"3,5",-99,-99,-99,5,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
215,-99,-99,-99,-99,-99,"1,3,5","1,3,5",-99,-99,-99,-99,-99,"1,3,5",-99,-99,-99,-99,-99,-99,-99,-99,"1,2,3","1,2,3",-99,-99,-99,-99,-99
248,-99,-99,-99,-99,-99,-99,"1,3,5",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,3
196,-99,5,3,-99,-99,-99,5,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99
267,-99,1,3,-99,-99,-99,"1,5",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,3,-99,3,-99,-99,-99,-99,3
224,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
45,-99,"2,4",3,"2,4",2,-99,"1,2,4",-99,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
6,-99,1,3,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
265,-99,5,5,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
135,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
